Source,Type,Percentage ,Count
Bovine,Total,2.30052417,79
Caprine,Total,0.145602796,5
Companion animals,Total,2.941176471,101
Environment,Total,3.785672685,130
Equine,Total,0.524170064,18
Homo sapiens,Total,74.66511357,2564
Insect,Total,0.174723355,6
Meat,Total,0.698893419,24
Poultry,Total,2.533488643,87
Swine,Total,4.892253931,168
Vegetables,Total,0.145602796,5
Wildlife,Total,0.553290623,19
Unknown,Total,6.639487478,228
Bovine,A/H53,23.63636364,13
Companion animals,A/H53,3.636363636,2
Equine,A/H53,3.636363636,2
Homo sapiens,A/H53,45.45454545,25
Meat,A/H53,1.818181818,1
Poultry,A/H53,1.818181818,1
Swine,A/H53,10.90909091,6
Unknown,A/H53,5.454545455,3
Wildlife,A/H53,3.636363636,2
Bovine,B1/H24,7.947019868,12
Caprine,B1/H24,0.662251656,1
Companion animals,B1/H24,1.324503311,2
Environment,B1/H24,7.947019868,12
Equine,B1/H24,1.986754967,3
Homo sapiens,B1/H24,19.20529801,29
Meat,B1/H24,5.960264901,9
Poultry,B1/H24,1.324503311,2
Swine,B1/H24,35.09933775,53
Unknown,B1/H24,17.8807947,27
Wildlife,B1/H24,0.662251656,1
Bovine,B2/H24R,0.369685767,2
Caprine,B2/H24R,0.184842884,1
Companion animals,B2/H24R,0.924214418,5
Environment,B2/H24R,4.805914972,26
Equine,B2/H24R,1.663585952,9
Homo sapiens,B2/H24R,85.02772643,460
Insect,B2/H24R,0.369685767,2
Meat,B2/H24R,0.554528651,3
Poultry,B2/H24R,0.554528651,3
Swine,B2/H24R,0.369685767,2
Unknown,B2/H24R,3.881700555,21
Vegetables,B2/H24R,0.369685767,2
Wildlife,B2/H24R,0.924214418,5
Bovine,B3/H24Rx,3.892215569,52
Caprine,B3/H24Rx,0.074850299,1
Companion animals,B3/H24Rx,2.395209581,32
Environment,B3/H24Rx,5.314371257,71
Equine,B3/H24Rx,0.299401198,4
Homo sapiens,B3/H24Rx,63.69760479,851
Insect,B3/H24Rx,0.149700599,2
Meat,B3/H24Rx,0.598802395,8
Poultry,B3/H24Rx,5.763473054,77
Swine,B3/H24Rx,8.008982036,107
Unknown,B3/H24Rx,9.056886228,121
Wildlife,B3/H24Rx,0.748502994,10
Caprine,B4/H24RxC,0.271370421,2
Companion animals,B4/H24RxC,2.849389417,21
Environment,B4/H24RxC,2.442333786,18
Homo sapiens,B4/H24RxC,88.87381275,655
Insect,B4/H24RxC,0.13568521,1
Meat,B4/H24RxC,0.13568521,1
Poultry,B4/H24RxC,0.407055631,3
Unknown,B4/H24RxC,4.613297151,34
Vegetables,B4/H24RxC,0.13568521,1
Wildlife,B4/H24RxC,0.13568521,1
Companion animals,B5/H24RxC,6.351791531,39
Environment,B5/H24RxC,0.488599349,3
Homo sapiens,B5/H24RxC,88.59934853,544
Insect,B5/H24RxC,0.16286645,1
Meat,B5/H24RxC,0.325732899,2
Poultry,B5/H24RxC,0.16286645,1
Unknown,B5/H24RxC,3.583061889,22
Vegetables,B5/H24RxC,0.325732899,2
Bovine,B3/H24Rx_1,2.268431002,12
Caprine,B3/H24Rx_1,0.189035917,1
Companion animals,B3/H24Rx_1,2.079395085,11
Environment,B3/H24Rx_1,2.457466919,13
Equine,B3/H24Rx_1,0.189035917,1
Homo sapiens,B3/H24Rx_1,54.63137996,289
Insect,B3/H24Rx_1,0.378071834,2
Meat,B3/H24Rx_1,0.378071834,2
Poultry,B3/H24Rx_1,9.640831758,51
Swine,B3/H24Rx_1,14.93383743,79
Unknown,B3/H24Rx_1,12.09829868,64
Wildlife,B3/H24Rx_1,0.756143667,4
Bovine,B3/H24Rx_2,4.956629492,40
Companion animals,B3/H24Rx_2,2.602230483,21
Environment,B3/H24Rx_2,7.187112763,58
Equine,B3/H24Rx_2,0.371747212,3
Homo sapiens,B3/H24Rx_2,69.64064436,562
Meat,B3/H24Rx_2,0.743494424,6
Poultry,B3/H24Rx_2,3.22180917,26
Swine,B3/H24Rx_2,3.469640644,28
Unknown,B3/H24Rx_2,7.063197026,57
Wildlife,B3/H24Rx_2,0.743494424,6
